Country,SG TOTAL,SG TEE TO GREEN,SG OFF THE TEE,SG APPROACH,SG AROUND THE GREEN,SG PUTTING,Name,Driving Distance,Accuracy,,Country,Name,Distance,,Country,Name,Accuracy
THA,2.83,1.7,0.53,1.08,0.08,0.98,jeeno thitikul,266.37,0.7204,,GER,polly mack,289.17,,USA,andrea lee,0.8295
AUS,2.46,1.03,0.67,0.2,0.15,1.16,minjee lee,265.4,0.6921,,ESP,julia lopez ramirez,285.56,,USA,lauren coughlin,0.8075
USA,2.43,1.67,1.04,0.65,-0.02,0.8,nelly korda,270.85,0.6972,,USA,auston kim,282.65,,KOR,hyo joo kim,0.8051
KOR,2.01,0.9,0.59,0.42,-0.11,1,hye-jin choi,267.13,0.7556,,DEN,emily kristine pedersen,280.99,,JPN,miyu yamashita,0.7979
KOR,1.98,1.21,0.61,0.63,-0.02,0.32,somi lee,265.03,0.7458,,CAN,maude-aimee leblanc,279.24,,JPN,ayaka furue,0.7958
USA,1.88,0.52,0.03,0.29,0.2,1.46,angel yin,262.25,0.6569,,USA,bailey tardy,278.72,,USA,megan khang,0.7946
KOR,1.68,0.98,0.06,0.47,0.45,0.39,hyo joo kim,247.33,0.8051,,PHI,bianca pagdanganan,277.9,,USA,cheyenne knight,0.7914
JPN,1.67,0.41,-0.18,0.28,0.31,1.04,miyu yamashita,245.22,0.7979,,USA,madison young,276.28,,THA,jasmine suwannapura,0.7806
ENG,1.64,1.09,0.62,0.34,0.12,0.39,charley hull,271,0.6805,,DEN,nanna koerstz madsen,274.82,,USA,allisen corpuz,0.7802
USA,1.64,1.59,0.59,0.71,0.29,-0.05,yealimi noh,266.56,0.6524,,ESP,fatima fernandez cano,274.38,,IND,aditi ashok,0.7787
CHN,1.63,1.39,0.43,1.03,-0.07,0.08,ruoning yin,265.73,0.7258,,KOR,ina yoon,274.33,,KOR,jiwon jeon,0.7771
NZL,1.62,0.73,-0.24,0.43,0.54,0.8,lydia ko,246.63,0.7151,,FRA,adela cernousek,274.23,,CAN,brooke m. henderson,0.7729
JPN,1.62,1.98,0.56,1.28,0.14,-0.54,rio takeda,269,0.7108,,CHN,weiwei zhang,274.2,,AUS,robyn choi,0.771
